Catalog no.,Artist,Album,Performers,Encoding,Source,Date Added,Tags,Notes
mc1720,Ludwig van Beethoven,"Variations WoO, op. 34, 35",Denis Matthews,FLAC,New York Public Library,2010-12-29,piano solo variations 19th-century,
mc1722,Antonio Vivaldi,Oeuvres sacrées pour soliste & double orchestra,"Il Seminario Musicale, et al",FLAC,New York Public Library,2011-03-16,vocal concertos 18th-century,
mc1723,Oliver Lake Trio,Zaki,"Oliver Lake, Michael Gregory Jackson, Pheer-oan AkLaff",FLAC,New York Public Library,2010-12-23,jazz improvisation 1990s hat,
mc1724,Orlande de Lassus,Penitential Psalms,"Henry's Eight, Jonathan Brown",FLAC,New York Public Library,2011-01-05,choral 16th-century,
mc1725,Giovanni Pierluigi Palestrina,"Canticum Canticorum, Stanze",The Hilliard Ensemble,FLAC,Download,2013-05-25,choral motets 16th-century,
mc1726,Peter Ilyich Tchaikovsky,"Symphony no. 3, Theatre Music","Gothenberg Symphony Orchestra, Neeme Järvi",FLAC,New York Public Library,2010-12-30,orchestral symphonies 19th-century bis,
mc1728,Richard Strauss,Piano Works,Frank Braley,FLAC,New York Public Library,2010-12-23,piano solo 19th-century 20th-century,
mc1729,Richard Strauss,Orchestral Selections,"Royal Philharmonic Orchestra, Thomas Beecham, et al",Ogg Vorbis -q 5,New York Public Library,2010-12-12,orchestral tone-poems 19th-century 20th-century,
mc1730,Richard Strauss,"Tod und Verklärung, Metamorphosen, Vier letzte Lieder","Berliner Philharmoniker, Gundula Janowitz, Herbert von Karajan",FLAC,New York Public Library,2010-12-19,orchestral tone-poems songs 20th-century,
mc1731,Anonymous,Medieval English Music,The Hilliard Ensemble,FLAC,Download,2013-05,medieval choral chants a-capella,
mc1732,Sonny Rollins,Plus 4,"Sonny Rollins, et al",FLAC,New York Public Library,2010-12-21,jazz 1950s prestige,
mc1733,Steve Lacy,Saxophone Special+,"Steve Lacy, et al",FLAC,New York Public Library,2010-12-20,live improvisation 1970s,
mc1734,Steve Reich & Musicians,Live 1977,"Steve Reich, et al",FLAC,New York Public Library,2010-12-24,live 1970s,
mc1735,Steve Reich,"Triple Quartet, Music for Large Ensemble, etc.","Kronos Quartet, Alan Pierson, et al",Ogg Vorbis -q 5,New York Public Library,2010-12-09,chamber orchestral 1990s 2000s,
mc1736,Dire Straits,Dire Straits,Dire Straits,FLAC,Personal collection,2015-12-26,rock 1970s,
mc1737,J. J. Johnson,"The Eminent, vol. 1","J. J. Johnson, et al",FLAC,New York Public Library,2010-12-31,jazz 1950s blue-note,
mc1738,The Modern Jazz Quartet,Dedicated to Connie: Live 1960,The Modern Jazz Quartet,FLAC,New York Public Library,2010-12-23,jazz live 1960s,
mc1739,Thomas Tomkins,"The Great Service, Anthems","The Tallis Scholars, Peter Phillips",FLAC,New York Public Library,2010-12-21,choral 16th-century gimell,
mc1740,Tomás Luis de Victoria,"Missa O magnum mysterium, Missa Ascendens christus in altum","Westminster Cathedral Choir, David Hill",FLAC,New York Public Library,2010-12-24,choral masses 16th-century,
mc1741,William Byrd,Motets and Mass for Four Voices,"The Theatre of Voices, Christopher Bowers-Broadbent, Paul Hillier",FLAC,New York Public Library,2010-12-29,masses motets ecm 16th-century 17th-century choral,
mc1742,William Byrd,Music for Voice and Viols,"The In Nomine Players, Russell Oberlin, Denis Stevens",FLAC,New York Public Library,2011-01-06,chamber songs 16th-century 17th-century,
mc1743,The Hilliard Ensemble,In Paradisum: Music of Victoria & Palestrina,The Hilliard Ensemble,FLAC,BitTorrent,2013-05,masses choral 16th-century ecm,
mc1744,Duke Ellington,Never No Lament: The Blanton-Webster Band,Duke Ellington Orchestra,FLAC,Monroe County Library,2013-06-10,jazz compilations 1940s big-band,
mc1745,Coleman Hawkins,At Ease,"Coleman Hawkins, Tommy Flanagan, et al",FLAC,Monroe County Library,2013-06-11,jazz 1960s prestige,
mc1746,Sigismondo d'India,Madrigali & Le Musiche a Una e Due Voci,"Les Arts Florissants, Ensemble de Violes Orlando Gibbons, William Christie",FLAC,New York Public Library,2011-01-06,madrigals choral 17th-century,
mc1747,Röyksopp,Junior,Röyksopp,Ogg Vorbis -q 5,BitTorrent,2010-12,techno rock 200s,
mc1748,Kenny Burrell & Coleman Hawkins,Bluesy Burrell,"Kenny Burrell, Coleman Hawkins, et al",FLAC,BitTorrent,2019-01-01,jazz 1960s prestige,
mc1749,Carl Philipp Emmanuel Bach,"Keyboard Sonatas, vol. 1",Danny Driver,FLAC,New York Public Library,2011-03-15,piano solo 18th-century,
mc1750,"Pierre de la Rue, Antoine Brumel",Requiem Masses,"The Clerks' Group, Edward Wickham",FLAC,New York Public Library,2011-03-30,masses 15th-century choral gaudeamus,Some ripping noise.
mc1751,Egidius Kwartet,Lamentatio Jerimiae Prophetae,"Egidius Kwartet, Gregoriana, Bas Ramselaar",FLAC,New York Public Library,2011-03-30,choral 16th-century,"Includes works by Alexander Agricola, Cristóbal de Morales, Jacob Arcadelt, Orlande de Lassus, and anonymous."
mc1752,Ensemble Clément Janequin,Chansons sur des poèmes de Ronsard,"Ensemble Clément Janequin; Visse, Dominique",FLAC,New York Public Library,2011-03-17,songs 16th-century,"Includes works by François Regnard, Juan de Castro, Philippe de Monte, and others."
mc1753,Ensemble Clément Janequin,Psaumes et chansons de la Réforme,Ensemble Clément Janequin,FLAC,New York Public Library,2011-03-17,songs motets 16th-century,"Includes works by Clément Janequin, Orlande de Lassus, Claude Le Jeune, Paschal l'Estocart, and others."
mc1754,Felix Mendelssohn,3 Preludes & Fugues for Organ,Hans Fagius,Ogg Vorbis -q 5,New York Public Library,2011-03-29,organ preludes fugues solo 19th-century bis,
mc1755,Felix Mendelssohn,Das Gesamtwerk für Violoncello,"Martin Ostertag, Roland Keller",FLAC,New York Public Library,2011-03-29,chamber cello 19th-century,
mc1756,Felix Mendelssohn,"Organ Sonatas, op. 65",Hans Fagius,Ogg Vorbis -q 5,New York Public Library,2011-03-29,organ solo 19th-century,
mc1757,Felix Mendelssohn,"Violin Concerto, op. 64; Piano Trios, op. 49 & 66","Leonidas Kavakos, Camerata Salzburg, et al",FLAC,New York Public Library,2011-03-14,chamber concertos 19th-century,
mc1758,François Couperin,Second livre de clavecin,Kenneth Gilbert,FLAC,New York Public Library,2011-03-28,harpsichord 17th-century solo,
mc1759,Georg Philipp Telemann,Concertos for Woodwind Instruments,Camerata Köln,FLAC,New York Public Library,2011-03-09,concertos 18th-century,
mc1760,Georg Philipp Telemann,"Bourlesque de Quixote, Overture, Suite 'La Lyra'","Northern Chamber Orchestra, Nicholas Ward",FLAC,New York Public Library,2011-03-10,suites orchestral 18th-century naxos,
mc1761,Georg Philipp Telemann,Oden 1741,"Klaus Mertens, Ludger Rémy",FLAC,New York Public Library,2011-03-14,songs chamber 18th-century,
mc1762,Georg Philipp Telemann,Pariser Quartette,"Freiburger BarockConsort, et al",FLAC,New York Public Library,2011-03-09,chamber concertos suites 18th-century,
mc1763,Georg Philipp Telemann,"Trauer-Actus, Kantaten","Cantus Cölln, Konrad Junghänel, et al",FLAC,New York Public Library,2011-03-16,cantatas 18th-century,
mc1764,Giovanni Bononcini,Amarilli: Cantates pour alto solo,"Il Seminario Musicale, Gérard Lesne",FLAC,New York Public Library,2011-03-11,cantatas 16th-century 17th-century,
mc1765,Giovanni Pierluigi Palestrina,"Mass for Pentecost, 5 Motets","Christ Church Cathedral Choir, Stephen Darlington",FLAC,New York Public Library,2011-03-11,masses motets 16th-century,
mc1766,Giovanni Pierluigi Palestrina,"Stabat Mater, Motets","The Cardinall's Musick, Andrew Carwood",FLAC,New York Public Library,2011-03-12,motets 16th-century gaudeamus,
mc1767,Girolamo Frescobaldi,"Accenni: Suonate d'intavolatura",Jean-Marc Aymes,FLAC,New York Public Library,2011-03-08,harpsichord solo 17th-century,
mc1769,Gustav Mahler,Symphony no. 5,"New York Philharmonic, Bruno Walter",FLAC,New York Public Library,2011-03-12,orchestral symphonies 20th-century,
mc1770,Gustav Mahler,Symphony no. 6,"Budapest Festival Orchestra, Iván Fischer",FLAC,New York Public Library,2011-03-13,orchestral symphonies 20th-century,
mc1771,Jean-Philippe Rameau,Complete Cantatas,"New Chamber Opera Ensemble, Gary Cooper",FLAC,New York Public Library,2011-03-30,cantatas 18th-century gaudeamus,
mc1772,"Johannes Ockeghem, Philippe Basiron","Missa l'Homme armé, Missa Sine nomine, Salve Regina","The Clerks' Group, Edward Wickham",FLAC,New York Public Library,2011-03-11,masses 15th-century gaudeamus,
mc1773,Johann Sebastian Bach,Cello Suites,Jean-Guihen Queyras,FLAC,New York Public Library,2011-03-13,cello suites solo 18th-century,
mc1774,Johann Sebastian Bach,Cello Suites,Pieter Wispelwey,FLAC,New York Public Library,2011-03-15,cello suites solo 18th-century,
mc1776,Johann Sebastian Bach,"Lute Works, BWV 995--997","Luca Pianca, Michele Barchi",FLAC,New York Public Library,2011-03-13,lute suites solo 18th-century,
mc1777,Johann Sebastian Bach,Sonatas & Partitas for Solo Violin,Viktoria Mullova,FLAC,New York Public Library,2011-03-12,solo violin 18th-century,
mc1778,"Henry Purcell, John Blow, Matthew Locke",Organ Works,John Butt,FLAC,New York Public Library,2011-03-30,organ solo 17th-century,Includes the complete organ works of Henry Purcell.
mc1779,Joseph Haydn,"Die sieben letzten Worte, op. 51 (quartet version)",Leipziger Streichquartett,FLAC,New York Public Library,2011-03-17,string-quartets chamber 18th-century,
mc1780,Josquin des Prez,"Motetti di Passione ... B, Missa Faisant regretz","The Clerks' Group, Edward Wickham",Ogg Vorbis -q 5,New York Public Library,2011-03-17,choral motets masses 15th-century,
mc1781,Josquin des Prez,"Missa Hercules dux Ferrariae, Motets","A Sei Voci, et al",Ogg Vorbis -q 5,New York Public Library,2011-03-11,masses choral 15th-century,
mc1782,Fleet Foxes,Fleet Foxes & Sun Giant,Fleet Foxes,FLAC,BitTorrent,2012-06-17,rock folk 2000s,
mc1783,Nicolò Jommelli,Lamentazioni per il Mercoledì Santo,"Il Seminario Musicale, Christophe Rousset, et al",FLAC,New York Public Library,2011-03-10,choral 18th-century lamentations,
mc1784,Orlando Gibbons,Music for Harpsichord & Virginals,James Johnstone,FLAC,New York Public Library,2011-03-09,solo harpsichord virginal 17th-century,
mc1786,Richard Strauss,"Don Quixote, Romanze, Cello Sonata","Symphonieorchester des Bayerischen Rundfunks, Lorin Maazel, et al",FLAC,New York Public Library,2011-03-08,orchestral chamber 20th-century tone-poems,
mc1787,Richard Strauss,"Ein Heldenleben, Le Bourgeois Gentilhomme","Berliner Philharmoniker, Simon Rattle",FLAC,New York Public Library,2011-03-08,orchestral tone-poems 20th-century,
mc1788,Richard Strauss,"Ein Heldenleben, Oboenkonzert","The Philadelphia Orchestra, Richard Woodhams, Wolfgang Sawallisch",FLAC,New York Public Library,2011-03-09,tone-poems concertos orchestral 20th-century,
mc1789,Richard Strauss,Tone Poems,"Staatskapelle Dresden, Rudolf Kempe",FLAC,New York Public Library,2011-03-09,tone-poems orchestral 20th-century,
mc1790,Tarquinio Merula,Arie e Capricci,"Montserrat Figueras, et al",FLAC,New York Public Library,2011-03-09,chamber vocal 17th-century,
mc1791,Grachan Moncur III,Some Other Stuff,"Grachan Moncur III, et al",FLAC,BitTorrent,2017-02-20,jazz blue-note 1960s,
mc1792,William Byrd,Harpsichord Works,Gustav Leonhardt,FLAC,New York Public Library,2011-03-30,harpsichord solo 16th-century 17th-century,
mc1793,Johann Sebastian Bach,"Six Partitas, BWV 825--830",Gustav Leonhardt,FLAC,BitTorrent,2011-03,solo harpsichord 18th-century suites,
mc1794,Johann Sebastian Bach,"French Suites, BWV 812--817",Gustav Leonhardt,FLAC,BitTorrent,2011-03,solo harpsichord 18th-century suites,
mc1795,Johann Sebastian Bach,"English Suites, BWV 806--811",Gustav Leonhardt,FLAC,BitTorrent,2011-03,solo harpsichord 18th-century suites,
mc1796,Sonny Clark,Cool Struttin',"Sonny Clark, et al",Ogg Vorbis -q 5,BitTorrent,2011-04,jazz 1950s blue-note,
mc1797,Milt Jackson,Bags' Bag,"Milt Jackson, et al",Ogg Vorbis -q 5,New York Public Library,2011-04,jazz 1970s,
mc1798,Milt Jackson,"Plenty, Plenty Soul","Milt Jackson, et al",Ogg Vorbis -q 5,BitTorrent,2011-04,jazz 1950s compilations,Includes bonus tracks from related sessions.
mc1799,Dave Brubeck Quartet,Jazz Goes to College,Dave Brubeck Quartet,Ogg Vorbis -q 5,New York Public Library,2011-04,jazz live 1950s columbia,
mc1800,Kenny Dorham,Quiet Kenny,"Kenny Dorham, et al",Ogg Vorbis -q 5,BitTorrent,2011-05-04,jazz 1950s prestige,
mc1801,Kraftwerk,Autobahn,Kraftwerk,Ogg Vorbis -q 5,BitTorrent,2011-05,rock techno 1970s,
mc1802,Kraftwerk,Computerwelt,Kraftwerk,Ogg Vorbis -q 5,BitTorrent,2011-05,rock techno 1980s,
mc1803,Kraftwerk,Die Mensch-Maschine,Kraftwerk,Ogg Vorbis -q 5,BitTorrent,2011-05,rock techno 1970s,
mc1804,Kraftwerk,Techno Pop,Kraftwerk,Ogg Vorbis -q 5,BitTorrent,2011-05,rock techno 1980s,
mc1805,Joe Henderson,Page One,"Joe Henderson, et al",Ogg Vorbis -q 5,BitTorrent,2011-05,jazz 1960s blue-note,
mc1806,Franz Xaver Richter,Grandes Symphonies,"Helsinki Baroque Orchestra, Aapo Häkkinen",FLAC,Monroe County Library,2017-07-27,18th-century symphonies orchestral naxos,
mc1807,Milt Jackson & Wes Montgomery,Bags Meets Wes!,"Milt Jackson, Wes Montgomery, et al",Ogg Vorbis -q 5,BitTorrent,2011-05,jazz 1960s riverside,
mc1808,Milt Jackson,Wizard of the Vibes,"Milt Jackson, et al",Ogg Vorbis -q 5,BitTorrent,2011-05,jazz compilations 1950s blue-note,
mc1809,Sam Rivers & Alexander von Schlippenbach,Tangens,Sam Rivers & Alexander von Schlippenbach,FLAC,BitTorrent,Unknown (2011 or 2012),jazz free-improvisation 1990s,
mc1810,Antonio Vivaldi,Cello Sonatas,Ensemble Explorations,FLAC,New York Public Library,2011-05-15,chamber cello 18th-century,
mc1811,Arnold Schoenberg,Pierrot Lunaire,"Marianne Pousseur, Philippe Herreweghe, et al",FLAC,New York Public Library,2011-05-14,chamber vocal 20th-century,
mc1812,Art Blakey & The Jazz Messengers,Indestructible,The Jazz Messengers,Ogg Vorbis -q 5,New York Public Library,2011-05-11,jazz 1960s blue-note,
mc1813,Bill Evans,Live at the Top of the Gate,"Bill Evans, Eddie Gomez, Marty Morell",FLAC,Monroe County Library,2013-06-08,live jazz 1960s,
mc1814,Béla Bartók,"Concerto for Orchestra; Music for Strings, Percussion, and Celesta","New York Philharmonic, Leonard Bernstein",FLAC,New York Public Library,2011-05-13,orchestral concertos 20th-century,
mc1815,Benjamin Britten,"Piano Concerto; Johnson Over Jordan; Paul Bunyan","English Chamber Orchestra, Steuart Bedford, et al",FLAC,New York Public Library,2011-05-13,concertos overtures 20th-century orchestral arrangements,
mc1816,"Paul Bley, Charlie Haden, & Paul Motian",Memoirs,"Paul Bley, Charlie Haden, & Paul Motian",FLAC,New York Public Library,2011-05-12,jazz 1990s,
mc1817,Charles Ives,Symphonies nos. 1 & 4,"Chicago Symphony Orchestra, Michael Tilson Thomas, et al",Ogg Vorbis -q 5,Herrick Memorial Library,2010-01-20,orchestral symphonies 20th-century,
mc1818,Coleman Hawkins,The Bebop Years,"Coleman Hawkins, et al",Ogg Vorbis -q 5,New York Public Library,2011-05-13,jazz box-sets 1940s,One track not ripped.
mc1819,Ernst Toch,"Piano Concerto no. 1; Peter Pan; Pinocchio; Big Ben Variation Fantasy","NDR Symphony Orchestra Hamburg, Leon Botstein, et al",FLAC,New York Public Library,2011-05-13,orchestral concertos overtures 20th-century,
mc1820,Antonio Maria Bononcini,La Decollazione di S. Giovanni Battista,"Orchestra del Teatro dell'Opera Barocca di Guastalla, Sandro Volta, et al",FLAC,New York Public Library,2011-05-18,cantatas 17th-century 18th-century,
mc1821,Gabriel Fauré,"Requiem, Cantique de Jean Racine","Accentus, Laurence Equilbey, et al",FLAC,New York Public Library,2011-05-14,orchestral choral requiems 19th-century,
mc1822,George Frideric Handel,"Alexander Balus, HWV 65","The King's Consort, Robert King, et al",FLAC,New York Public Library,2011-05-13,oratorios 18th-century,
mc1823,Lee Morgan,Leeway,"Lee Morgan, et al",FLAC,BitTorrent,2017-02-20,jazz 1960s blue-note,
mc1824,Jean-Philippe Rameau,"Dardanus, Les Fêtes d'Hébé","English Baroque Soloists, Monteverdi Choir, John Eliot Gardiner, et al",FLAC,New York Public Library,2011-05-16,suites vocal orchestral 18th-century,
mc1825,Jean-Philippe Rameau,Les Cyclopes: Pièces de clavecins,Trevor Pinnock,FLAC,New York Public Library,2011-05-11,harpsichord solo 17th-century,
mc1826,Johannes Brahms,"Klavierquartett, op. 25; Balladen, op. 10","Amadeus Quartet, Emil Gilels",Ogg Vorbis -q 5,Herrick Memorial Library,2010-02-26,chamber solo piano 19th-century,
mc1827,Art Blakey & The Jazz Messengers,The Big Beat,The Jazz Messengers,FLAC,BitTorrent,2017-02-21,jazz 1960s blue-note,
mc1828,Johann Sebastian Bach,"Matthäus-Passion, BWV 244","Baroque Orchestra & Choir of the Netherlands Bach Society, Jos van Veldhoven, et al",FLAC,New York Public Library,2011-05-15,oratorios 18th-century,
mc1829,Ars Nova Copenhagen,Taverner and Tudor Music II: Gloria tibi Trinitas,"Ars Nova Copenhagen, Paul Hillier",FLAC,New York Public Library,2011-05-25,choral masses 16th-century,
mc1830,John Coltrane,"Live at the Half Note: One Down, One Up","John Coltrane, et al",FLAC,BitTorrent,2019-02-11,jazz live 1960s,
mc1831,Leoš Janáček,String Quartets nos. 1 & 2,Guarneri Quartet,FLAC,New York Public Library,2011-05-11,quartets chamber 19th-century,
mc1832,Leoš Janáček,"Violin Sonata, Capriccio, etc.","Tamás Benedek, et al",FLAC,New York Public Library,2011-05-11,chamber 19th-century naxos,
mc1833,Ralph Vaughn-Williams,Symphonies nos. 3 & 5,"Adrian Boult, et al",FLAC,New York Public Library,2011-05-14,orchestral symphonies 20th-century,
mc1834,Sergei Prokofiev,"String Quartets nos. 1 & 2, Sonata for 2 Violins",Emerson String Quartet,Ogg Vorbis -q 5,New York Public Library,2011-05-11,quartets chamber 20th-century deutsche-grammophon,
mc1835,Sergei Prokofiev,"Violin Concertos nos. 1 & 2, Violin Sonata","Nathan Milstein, et al",Ogg Vorbis -q 5,New York Public Library,2011-05-12,concertos orchestral chamber 20th-century,
mc1836,"Simone Molinaro, Giovanni Battista Dalla Gostena","Fantasie, Canzoni e Balli",Paul O'Dette,FLAC,New York Public Library,2011-05-13,lute solo 16th-century,
mc1837,Paul Chambers,Paul Chambers Quintet,"Paul Chambers, et al",FLAC,BitTorrent,2017-02-21,jazz blue-note 1950s,
mc1838,Bill Evans Trio,"Live in Buenos Aires, vols. 1 & 2","Bill Evans, et al",Ogg Vorbis -q 5,BitTorrent,2011-05,live jazz 1970s,
mc1839,Cy Coleman,City of Angels,Various,Ogg Vorbis -q 5,Personal collection,2011-05-20,musicals 1990s jazz,
mc1840,Franz Berwald,4 Symphonies,"Göteborgs Symfoniker, Neeme Järvi",FLAC,BitTorrent,2015-03,symphonies orchestral 19th-century,
mc1841,Felix Mendelssohn,Complete String Quartets,Quatour Ysaÿe,FLAC,BitTorrent,2010,chamber string-quartets 19th-century,
