Catalog no.,Artist,Album,Performers,Encoding,Source,Date Added,Tags,Notes
mc1019,Steve Reich,Proverb; Nagoya Marimbas; City Life,Various,Ogg Vorbis -q 5,Bakalar Library,2009-04-27,chamber ensemble choral 20th-century,
mc1020,Witold Lutosławski,Partita; Chain 2,"BBC Symphony Orchestra, Witold Lutosławski, et al",Ogg Vorbis -q 5,Bakalar Library,2009-04-27,orchestral 20th-century,
mc1021,Joseph Haydn,Piano Sonatas 1--47 (Landon numbering),Rudolf Buchbinder,Ogg Vorbis -q 5,Bakalar Library,2009-04-29,piano solo sonatas 18th-century,
mc1022,Joseph Haydn,Die Schöpfung,"English Baroque Soloists, The Monteverdi Choir, John Eliot Gardiner, et al",Ogg Vorbis -q 5,Bakalar Library,2009-04-29,oratorios 18th-century,
mc1023,Joseph Haydn,"Violin Concertos, Romance","The English Concert, Simon Standage, Trevor Pinnock",Ogg Vorbis -q 5,Bakalar Library,2009-04-29,concertos 18th-century violin,
mc1024,Ernst Krenek,String Quartets nos. 1 & 2,Sonore-Quartett,Ogg Vorbis -q 5,Bakalar Library,2009-04-29,chamber string-quartets 20th-century,
mc1025,Miles Davis & John Coltrane,Miles & Coltrane,"Miles Davis First Quintet, et al",Ogg Vorbis -q 5,Bakalar Library,2009-04-29,compilations jazz 1950s,
mc1026,Miles Davis,Filles de Kilimanjaro,"Miles Davis, et al",Ogg Vorbis -q 5,Bakalar Library,2009-04-29,jazz fusion 1960s,
mc1027,Steve Reich,Percussion Music,Steve Reich Ensemble,Ogg Vorbis -q 5,Bakalar Library,2009-04-29,chamber percussion 20th-century,
mc1028,Eustache du Caurroy,23 Fantasies,"Hespèrion XX, Jordi Savall",FLAC,BitTorrent,2016-09-28,instrumental 16th-century,
mc1029,Johann Sebastian Bach,"Matthäus-Passion, BWV 244","La Chapelle Royale, Collegium Vocale Gent, Philippe Herreweghe, et al",FLAC,BitTorrent,2013-11-14,oratorios 18th-century,
mc1030,Johann Sebastian Bach,"Mass in B minor, BWV 232","Franz Brüggen, et al",Ogg Vorbis -q 5,Bakalar Library,2009-05-03,masses 18th-century,
mc1031,Giacinto Scelsi,"Aion, Pfhat, Konx-Om-Pax","Jürg Wyttenbach, et al",Ogg Vorbis -q 5,Bakalar Library,2009-05-03,,
mc1032,Giacinto Scelsi,Canti de Capricorno,"Michiko Hirayama, et al",Ogg Vorbis -q 5,Bakalar Library,2009-05-03,20th-century songs chamber,
mc1033,Giacinto Scelsi,Chamber Music,Various,Ogg Vorbis -q 5,Bakalar Library,2009-05-03,,
mc1034,Giacinto Scelsi,"Quattro Pezzi, Anahit, Uaxuctum","Orchestre de la Radio-Télévision de Cracovie, Jürg Wyttenbach",Ogg Vorbis -q 5,Bakalar Library,2009-05-03,orchestral 20th-century,
mc1035,Giacinto Scelsi,Selections,Various,Ogg Vorbis -q 5,Bakalar Library,2009-05-03,orchestral 20th-century,
mc1036,György Ligeti,Piano Music,"Begoña Uriarte, Karl-Hermann Mrongovius",Ogg Vorbis -q 5,Bakalar Library,2009-05-03,piano 20th-century,
mc1037,György Ligeti,"Requiem, Aventures, Nouvelles Aventures",Various,Ogg Vorbis -q 5,Bakalar Library,2009-05-03,choral orchestral 20th-century,
mc1038,György Ligeti,"Trio; Passacaglia; Hungarian Rock, etc.",Various,Ogg Vorbis -q 5,Bakalar Library,2009-05-03,,
mc1039,Orlande de Lassus,Missa Osculteur Me; Motets,"The Tallis Scholars, Peter Phillips",FLAC,New York Public Library,2011-05-29,choral masses motets 16th-century,
mc1040,Orlande de Lassus,Motets et Chansons,Hilliard Ensemble,FLAC (transcoded from Vorbis),Bakalar Library,2009-05-03,songs motets 16th-century,Transcoded 2020-12 due to warnings from recent Vorbis library versions.
mc1041,Duke Ellington & John Coltrane,Duke Ellington & John Coltrane,"Duke Ellington, John Coltrane, et al",Ogg Vorbis -q 5,New York Public Library,2009-05-07,jazz 1960s,
mc1042,François Couperin,Office des Ténèbres,"Ensemble Il Seminario Musicale, Gérard Lesne",FLAC,BitTorrent,2016-09-28,choral 17th-century,
mc1043,John Coltrane,The Olatunji Concert,"John Coltrane, et al",Ogg Vorbis -q 5,New York Public Library,2009-05-07,jazz 1960s,
mc1044,Eric Dolphy,Out to Lunch,"Eric Dolphy, et al",Ogg Vorbis -q 5,New York Public Library,2009-05-07,jazz 1960s,
mc1045,Antonio Vivaldi,Orlando Furioso,"Ensemble Matheus, Choeur ""Les Éléments"", Jean-Christoph Spinosi, et al",Ogg Vorbis -q 5,New York Public Library,2009-05-09,opera 18th-century,
mc1046,George Frideric Handel,"Gloria, Dixit Dominus",Various,Ogg Vorbis -q 5,New York Public Library,2009-05-08,18th-century anthems choral,
